"date","fixing_i_volume"
"01.01.2016 00:00","2565.10"
"01.01.2016 01:00","2869.70"
"01.01.2016 02:00","3059.80"
"01.01.2016 03:00","3116.20"
"01.01.2016 04:00","3169.90"
"01.01.2016 05:00","3035.50"
"01.01.2016 06:00","2767.20"
"01.01.2016 07:00","2726.40"
"01.01.2016 08:00","2483.50"
"01.01.2016 09:00","1976.50"
"01.01.2016 10:00","1959.50"
"01.01.2016 11:00","1920.50"
"01.01.2016 12:00","1935.40"
"01.01.2016 13:00","2025.00"
"01.01.2016 14:00","1988.80"
"01.01.2016 15:00","2027.60"
"01.01.2016 16:00","2285.20"
"01.01.2016 17:00","2321.80"
"01.01.2016 18:00","2151.20"
"01.01.2016 19:00","2143.90"
"01.01.2016 20:00","2177.30"
"01.01.2016 21:00","2164.70"
"01.01.2016 22:00","2253.20"
"01.01.2016 23:00","2733.00"
"02.01.2016 00:00","2869.70"
"02.01.2016 01:00","3059.80"
"02.01.2016 02:00","3116.20"
"02.01.2016 03:00","3169.90"
"02.01.2016 04:00","3035.50"
"02.01.2016 05:00","2767.20"
"02.01.2016 06:00","2726.40"
"02.01.2016 07:00","2483.50"
"02.01.2016 08:00","1976.50"
"02.01.2016 09:00","1959.50"
"02.01.2016 10:00","1920.50"
"02.01.2016 11:00","1935.40"
"02.01.2016 12:00","2025.00"
"02.01.2016 13:00","1988.80"
"02.01.2016 14:00","2027.60"
"02.01.2016 15:00","2285.20"
"02.01.2016 16:00","2321.80"
"02.01.2016 17:00","2151.20"
"02.01.2016 18:00","2143.90"
"02.01.2016 19:00","2177.30"
"02.01.2016 20:00","2164.70"
"02.01.2016 21:00","2253.20"
"02.01.2016 22:00","2733.00"
"02.01.2016 23:00","2373.80"
"03.01.2016 00:00","2671.40"
"03.01.2016 01:00","2900.50"
"03.01.2016 02:00","2917.70"
"03.01.2016 03:00","2869.20"
"03.01.2016 04:00","2686.00"
"03.01.2016 05:00","2529.10"
"03.01.2016 06:00","2240.40"
"03.01.2016 07:00","1827.00"
"03.01.2016 08:00","1675.30"
"03.01.2016 09:00","1531.80"
"03.01.2016 10:00","1655.40"
"03.01.2016 11:00","1678.00"
"03.01.2016 12:00","1626.20"
"03.01.2016 13:00","1665.10"
"03.01.2016 14:00","1652.80"
"03.01.2016 15:00","1803.00"
"03.01.2016 16:00","1844.60"
"03.01.2016 17:00","1882.00"
"03.01.2016 18:00","1927.50"
"03.01.2016 19:00","1838.70"
"03.01.2016 20:00","1980.50"
"03.01.2016 21:00","1739.20"
"03.01.2016 22:00","1745.30"
"03.01.2016 23:00","2693.70"
"04.01.2016 00:00","3014.90"
"04.01.2016 01:00","3200.50"
"04.01.2016 02:00","3169.10"
"04.01.2016 03:00","3113.00"
"04.01.2016 04:00","2705.40"
"04.01.2016 05:00","2196.50"
"04.01.2016 06:00","1991.20"
"04.01.2016 07:00","1762.40"
"04.01.2016 08:00","1596.30"
"04.01.2016 09:00","1530.00"
"04.01.2016 10:00","1444.20"
"04.01.2016 11:00","1445.10"
"04.01.2016 12:00","1410.20"
"04.01.2016 13:00","1409.60"
"04.01.2016 14:00","1344.70"
"04.01.2016 15:00","1702.00"
"04.01.2016 16:00","1707.50"
"04.01.2016 17:00","1592.60"
"04.01.2016 18:00","1558.00"
"04.01.2016 19:00","1368.40"
"04.01.2016 20:00","1262.90"
"04.01.2016 21:00","2640.50"
"04.01.2016 22:00","2115.40"
"04.01.2016 23:00","1815.30"
"05.01.2016 00:00","1681.10"
"05.01.2016 01:00","1654.60"
"05.01.2016 02:00","1648.30"
"05.01.2016 03:00","1726.40"
"05.01.2016 04:00","2206.90"
"05.01.2016 05:00","2302.60"
"05.01.2016 06:00","1594.90"
"05.01.2016 07:00","1818.80"
"05.01.2016 08:00","2000.70"
"05.01.2016 09:00","2080.30"
"05.01.2016 10:00","2208.10"
"05.01.2016 11:00","2224.10"
"05.01.2016 12:00","2284.10"
"05.01.2016 13:00","2134.90"
"05.01.2016 14:00","2138.50"
"05.01.2016 15:00","2563.00"
"05.01.2016 16:00","2543.20"
"05.01.2016 17:00","2559.60"
"05.01.2016 18:00","2537.40"
"05.01.2016 19:00","2355.50"
"05.01.2016 20:00","1616.70"
"05.01.2016 21:00","2901.00"
"05.01.2016 22:00","2513.60"
"05.01.2016 23:00","1889.70"
"06.01.2016 00:00","2011.50"
